ORDER_ID,ORDER_DATE,CUSTOMER_NAME,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0109,2026-04-08,David Mbeki,Lip Balm,Beauty,4,1068,4272
O0110,2026-03-18,Zanele Nkosi,Denim Jacket,Fashion,4,115,460
O0111,2026-07-11,Chloe Dlamini,Perfume,Beauty,5,890,4450
O0112,2026-05-05,Lerato Khumalo,Desk Lamp,Home,2,88,176
O0113,2026-05-05,Kagiso Naidoo,Sunglasses,Fashion,1,656,656
O0114,2026-06-21,Kagiso Van der Merwe,Sneakers,Fashion,4,155,620
O0115,2026-08-04,Johan Mahlangu,Coffee Mug,Home,4,700,2800
O0116,2026-05-17,Kagiso Dlamini,Face Mask,Beauty,1,725,725
O0117,2026-05-25,Pieter Botha,Lip Balm,Beauty,1,1068,1068
O0118,2026-02-04,David Fourie,Sunglasses,Fashion,4,656,2624
O0119,2026-03-08,Aisha Fourie,Wireless Earbuds,Electronics,4,586,2344
O0120,2026-04-27,Naledi Dlamini,Throw Blanket,Home,3,739,2217
O0121,2026-03-13,Kagiso Mbeki,Backpack,Fashion,4,450,1800
O0122,2026-05-01,Naledi Coetzee,Power Bank,Electronics,1,358,358
O0123,2026-01-14,Lerato Mokoena,Perfume,Beauty,3,890,2670
O0124,2026-07-19,David Fourie,Power Bank,Electronics,1,358,358
O0125,2026-09-01,David Mbeki,Bluetooth Speaker,Electronics,2,1088,2176
O0126,2026-06-09,Zanele Mbeki,Bluetooth Speaker,Electronics,2,1088,2176
O0127,2026-05-02,Naledi Ndlovu,Smart Watch,Electronics,1,104,104
O0128,2026-04-30,Zanele Mokoena,Throw Blanket,Home,3,739,2217
O0129,2026-02-12,Fatima Sithole,Denim Jacket,Fashion,5,115,575
O0130,2026-07-19,Lerato Khumalo,USB-C Cable,Electronics,2,152,304
O0131,2026-05-29,Sipho Els,USB-C Cable,Electronics,1,152,152
O0132,2026-06-23,Sipho Els,Lip Balm,Beauty,4,1068,4272
O0133,2026-01-20,Pieter Botha,Throw Blanket,Home,5,739,3695
O0134,2026-01-27,Grace Van der Merwe,Desk Lamp,Home,3,88,264
O0135,2026-07-26,Fatima Botha,Face Mask,Beauty,1,725,725
O0136,2026-03-30,Zanele Mokoena,Wireless Earbuds,Electronics,5,586,2930
O0137,2026-01-18,Naledi Fourie,Denim Jacket,Fashion,5,115,575
O0138,2026-01-04,Michael Mbeki,Sneakers,Fashion,4,155,620
O0139,2026-04-21,Zanele Dlamini,USB-C Cable,Electronics,3,152,456
O0140,2026-07-01,Nomvula Ndlovu,Cap,Fashion,2,392,784
O0141,2026-07-07,Naledi Fourie,Coffee Mug,Home,5,700,3500
O0142,2026-06-07,Michael Mbeki,Storage Box,Home,5,873,4365
O0143,2026-04-30,Fatima Sithole,Shampoo,Beauty,4,624,2496
O0144,2026-03-10,Johan Mahlangu,Lip Balm,Beauty,3,1068,3204
O0145,2026-03-13,Naledi Ndlovu,Power Bank,Electronics,4,358,1432
O0146,2026-05-26,Naledi Ndlovu,Cap,Fashion,5,392,1960
O0147,2026-03-28,Karabo Nkosi,Backpack,Fashion,1,450,450
O0148,2026-02-16,Zanele Dlamini,Sneakers,Fashion,4,155,620
O0149,2026-07-24,Ayanda Mokoena,Denim Jacket,Fashion,3,115,345
O0150,2026-08-14,Kagiso Mbeki,Storage Box,Home,5,873,4365
